epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.733,3.3083,4.9865,4.21132,0,0,0,0,3.50499,5.22971,4.14841,0.000124956,0.000124956,0.000124956
2,221.62,3.27751,4.92278,4.15664,0.0003,0.03365,0.00063,0.00015,3.46067,5.13071,4.08079,0.000250782,0.000250782,0.000250782
3,332.613,3.26045,4.80807,4.07136,0.00066,0.2295,0.00436,0.00071,3.51418,4.80541,3.89017,0.000374067,0.000374067,0.000374067
4,443.688,3.15963,4.68348,3.94534,0.00146,0.28288,0.0024,0.00047,3.45433,4.70918,3.821,0.000373565,0.000373565,0.000373565
5,554.937,3.02446,4.55193,3.78685,0.0011,0.35013,0.07903,0.01588,3.27063,5.4823,3.77759,0.000369754,0.000369754,0.000369754
6,665.809,2.99537,4.51406,3.68288,0.69562,0.01202,0.00359,0.00096,3.08486,5.59889,3.5092,0.000365942,0.000365942,0.000365942
7,777.564,2.93232,4.43393,3.55034,0.5445,0.02313,0.00536,0.00127,3.07322,4.9614,3.4886,0.000362131,0.000362131,0.000362131
8,888.719,2.8722,4.30111,3.44086,0.00156,0.33405,0.00998,0.00201,2.94269,4.61646,3.40703,0.000358319,0.000358319,0.000358319
9,999.73,2.76812,4.26952,3.35809,0.00178,0.30675,0.01862,0.00362,2.92529,4.65405,3.36387,0.000354508,0.000354508,0.000354508
10,1110.31,2.69394,4.2403,3.27048,0.00163,0.34778,0.00486,0.00119,2.98497,4.75329,3.36288,0.000350697,0.000350697,0.000350697
11,1221.28,2.56634,4.17341,3.17746,0.00151,0.29114,0.02077,0.00446,2.83162,4.58782,3.20474,0.000346885,0.000346885,0.000346885
12,1332.28,2.49437,4.11729,3.09963,0.5406,0.05753,0.01044,0.00342,2.86542,4.97454,3.28457,0.000343074,0.000343074,0.000343074
